Major PIN,Contract Number,Region,Project Title,Project Description,Status,In/Future Development Start Date,Bid Opening Date,Construction Start Date,Construction End Date,Construction Amount,Federal Funding,State Funding,Local Funding,Type of Work,Public Friendly Description,Contract Award Date,Contract Award Amount,Approved Cost Changes,Current Award Amount,Estimated or Actual Completed Date,Schedule Performance,Cost Performance
XM1820,D263526,11 NEW YORK CITY,"WHERE & WHEN EMERGENCY BRIDGE REPAIRS, ALL NYC",Where & When Emergency Bridge Repairs. This project will address Bridge Demand Maintenance Repairs in New York City.,Under Construction,Winter 2016/2017,12/14/2017,,,,No,Yes,No,This project involves bridge repairs as needs arise.,This project will address emergency repairs on highways and bridges in the State Highway System for all Boroughs of New York City. ,2018-01-25T00:00:00.000,9223600,8359067.03,17582667.03,2019-03-19T00:00:00.000,GREEN,RED
XM1850,,11 NEW YORK CITY,"ADA REQUIREMENTS IN BRONX CO., NYC","Build curb ramps, crosswalks and sidewalks at various locations in Bronx county, NYC as mandated by 28 CFR 35.150 to be included in the NYSDOT ADA Transition Plan. Non-accessible assets identified will be brought up to accessible standards.",In Development,Fall 2018,Fall 2019,Winter 2019/2020,Summer 2021,1200000,Yes,Yes,No,"This project involves rehabilitating pedestrian facilities (paths, sidewalks, crosswalks, etc.).","This project will build (either throught replacement, alteration, or new installation) fully-compliant American with Disabilities Act (ADA) pedestrian curb ramps, crosswalks, and/or sidewalks at various locations in Bronx County, New York City to improve ",,,,,,,
XM1948,,11 NEW YORK CITY,"ASPHALT PAVMT PRESERVATION MAINTENANCE PROJECT, IN NYC",Maintenance Repair / Resurfacing of Asphalt Pavement at Various Locations in New York City to Extend the Service Life of the Pavement on State Highway System.,In Development,Summer 2018,Fall 2019,Winter 2019/2020,Spring 2022,15200000,No,Yes,No,This project involves repaving roads using multiple overlays of pavement.,"This project will replace and install new asphalt pavement on state highway roadways at various locations in the Boroughs of Manhattan, Bronx, Queens, Brooklyn, and Staten Island in New York City.",,,,,,,
X80658,,11 NEW YORK CITY,ASTORIA BLVD BRIDGE OVER BQE EAST LEG REHAB IN QUEENS CO.,"Astoria Blvd Bridge over BQE Ramp to East Bound GCP Rehabilitation to Address Structural Deficiencies and Ensure Motorists Safety. Queens County, NYC. BIN: 1072010.",In Development,Summer 2009,Fall 2019,Winter 2019/2020,Fall 2022,12500000,Yes,Yes,No,This project involves replacing the bridge superstructure.,"This project will repair and replace steel and concrete elements on Astoria Boulevard bridge over Brooklyn-Queens Expressway ramp to Grand Central Parkway located in Queens County, New York City.",,,,,,,
XM1851,,11 NEW YORK CITY,BRIDGE MAINTENANCE REPAIRS - ALL COUNTIES IN NEW YORK CITY,Preventive and Corrective Maintenance Repairs of NYS Bridges to Extend the Service Life of the Structures.  NYC All Counties,In Development,Spring 2017,Summer 2019,Fall 2019,Spring 2022,24700000,No,Yes,No,This project involves repairs to bridges before they become much more costly to fix.,This project will repair steel and concrete elements at various locations in all Boroughs of New York City.  ,,,,,,,
X73151,,11 NEW YORK CITY,"BRIDGE REHABILITATION OF BRUCKNER EXPY OVER ROSEDALE AVE, BX","Rehabilitation of Bruckner Expressway (278I) Overpass at Rosedale Avenue located in Bronx County, NYC to repair deteriorated bridge elements to assure continued safe operations & a possible full superstructure replacement. BIN: 1075789",In Development,Spring 2016,Fall 2022,Winter 2022/2023,Winter 2025/2026,63400000,Yes,Yes,No,This project involves replacing bridge decks.,"This project will repair and replace deteriorated elements of Bruckner Expressway Bridge over Rosedale Avenue located in Bronx County, NYC to ensure continued safe operations.",,,,,,,
XM1526,,11 NEW YORK CITY,CITYWIDE LANDSCAPE REQUIREMENTS,"LANDSCAPING REQUIREMENTS INCLUDING SOIL RESTORATION,TREE TRANSPLANTING, SIDEWALK, WALL AND FENCE WORK, AT  VARIOUS LOCATIONS THROUGHOUT THE FIVE COUNTIES OF NEW YORK CITY",In Development,Winter 2018/2019,Fall 2019,Fall 2019,Summer 2021,4200000,No,Yes,No,This project involves improving the landscape along roads.,This project will provide landscape work to mitigate construction impacts and/or beautify roadside environments of State Highway System at various locations in New York City.,,,,,,,
XM1930,,11 NEW YORK CITY,CRACK SEALING,PREVENTIVE MAINTENANCE OF PAVMENT BY FILLING & SEALING CRACKS AND JOINTS IN VARIOUS LOCATIONS IN NEW YORK CITY ON THE STATE HIGHWAY SYSTEM,In Development,Summer 2018,Winter 2019/2020,Spring 2020,Spring 2021,1500000,No,Yes,No,This project involves cleaning and sealing pavement cracks.,This project will fill and seal cracks and joints on highway roadways at various locations in all Boroughs of New York City.,,,,,,,
X73150,,11 NEW YORK CITY,"DECK REPLACEMENT OF 4 BRIDGES OVER BKLYN-QNS EXPY, KINGS CO.","Replace 4 Bridge Decks over Brooklyn Queens Expwy in Kings Co, NYC.  The project will replace concrete decks, repair concrete substructures & repair other deteriorated elements to ensure continued safe operations. BINs: 1065530, 1065549, 1076459, 1076460",In Development,Summer 2015,Summer 2024,Summer 2024,Fall 2024,17600000,Yes,Yes,No,This project involves replacing bridge decks.,"The project will replace concrete decks, repair concrete substructures, and repair other deteriorated elements to ensure continued safe operations of four (4) Bridge Decks over Brooklyn Queens Expwy from South 3rd Street to Grand Street in Kings Co., NYC.",,,,,,,
X22869,,11 NEW YORK CITY,EB LIE AUXILIARY LN B/W CLEARVIEW EXPWY & SPRINGFIELD BLVD,EASTBOUND LIE AUXILIARY LANE B/W CLEARVIEW EXPWY & SPRINGFIELD BLVD,In Development,Winter 2017/2018,Summer 2020,Fall 2020,Fall 2022,10200000,No,Yes,No,This project involves the construction or reconstruction of road shoulders.,"The Eastbound Long Island Expressway between the entrance ramps from the Clearview Expressway & the exit ramp to Springfield Boulevard experience heavy congestion during peak periods. This congestion is exacerbated by the high volume of truck traffic, bot",,,,,,,
X05159,,11 NEW YORK CITY,"GCP BRIDGE REHAB OVER WINCHESTER BLVD & CIP. QNS, NYC","Rehabilitation of Grand Central Parkway Bridge Over Winchester Blvd & Ramp H Over Cross Island Parkway in Queens County, NYC. BINS 106514A, 1065149. This project will extend service life of the structure.",In Development,Summer 2003,Fall 2021,Winter 2021/2022,Winter 2024/2025,83200000,Yes,Yes,No,This project involves replacing bridge decks.,"This rehabilitation project will extend the service life of the Grand Central Parkway bridge over Winchester Blvd and ramp over Cross Island parkway in Queens County, New York City.",,,,,,,
X73161,,11 NEW YORK CITY,"GOW EXPWY STEEL REPAIRS & RAMP ""D"" DECK REPL, KINGS CO., NY","Replacement of the southbound Gowanus Expressway Entrance Ramp D concrete deck, which is located at the Prospect Avenue/ Hamilton Avenue Intersection, resealing of the Gowanus mainline deck joints, and structural steel repairs.",In Development,Winter 2017/2018,Winter 2019/2020,Spring 2020,Fall 2022,17500000,Yes,Yes,No,This project involves bridge repairs as needs arise.,"Replacement of the southbound Gowanus Expressway Entrance Ramp D concrete deck, which is located at the Prospect Avenue/ Hamilton Avenue Intersection, resealing of the Gowanus mainline deck joints, and structural steel repairs.",,,,,,,
X73163,,11 NEW YORK CITY,"HUNTS POINT TRUCK ACCESS PROJECT CONTRACT 1, BX CO. NYC",Hunts Point Truck Access  improvement for Hunts Point Food Distribution Center in Bronx Co. NYC to address limited direct truck routes via nearby highways & reduce travel thru local streets. 7 BINs 106666 -9; -D to H & 1075310,In Development,Winter 2016/2017,Spring 2019,Summer 2019,Fall 2022,551700000,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,Hunts Point Truck Access improvement for Hunts Point Food Distribution Center in Bronx Co. NYC to address limited direct truck routes via nearby highways & reduce travel through local streets.,,,,,,,
X73155,,11 NEW YORK CITY,"HUNTS POINT TRUCK ACCESS PROJECT EIS, BX CO. NYC",Develop EIS for Hunts Point Truck Access  improvement for Hunts Point Food Distribution Center in Bronx Co. NYC to address limited direct truck routes via nearby highways & reduce travel thru local streets. 7 BINs 106666 -9; -D to H & 1075310,In Development,Winter 2016/2017,Spring 2019,Summer 2019,Fall 2022,,No,Yes,No,This project involves conducting studies to improve traffic flow and safety along identified portions of a highway corridor.,"This project will conduct a Planning-Environmental Link Study on nearby highway truck access to Hunts Point Food Distribution Center located in Hunts Point, Bronx County, NYC. The food distribution center, Hunts Point Cooperative Market, is accessed from ",,,,,,,
X80659,,11 NEW YORK CITY,L.I.E. CORRIDOR ACTIVE TRANSPORTATION & DEMAND MANAGEMENT,"Long Island Expressway Corridor Active Transportation & Demand Management, QMT to Main Street, Queens County, NYC.",In Development,Summer 2009,Winter 2021/2022,Winter 2021/2022,Winter 2023/2024,14100000,Yes,Yes,No,This project involves work done on lanes restricted to vehicles with more than one person traveling in them or hybrid vehicles.,"This project will install an Active Traffic Management (ATM) system on Eastbound and Westbound Long Island Expressway (LIE) between the Queens-Midtown Tunnel and Main Street located in the Boroughs of Manhattan and Queens, New York City. The ATM strategie",,,,,,,
X80600,,11 NEW YORK CITY,MAINTAIN & SUPPORT ALL NYC INTELLIGENT TRANSPORTATION SYSTEM,Provide Maintenance and Field Support for the Intelligent Transportation System to keep it operational on the State Highway System in New York City Five Boroughs.,In Development,Fall 2017,Spring 2019,Summer 2019,Winter 2021/2022,7000000,Yes,Yes,No,This project involves the managing and clearing of incidents along freeways.,"This project will perform preventive maintenanace, repairs and replacements of the existing citywide Intelligent Transportation System (ITS) components that includes: Closed Circuit Cameras, Varible Message Signs, Communication System, Vehicle Detectors &",,,,,,,
X73127,,11 NEW YORK CITY,"MOBILITY IMPROVEMENT ON N/B BRUCKNER EXPWY, BRONX CO., NYC","Safety & Mobility Improvements on Bruckner Expwy, New England Thruway (I-95), and Hutchinson River Parkway (NY908A) in the Vicinity of I-95 Pelham Parkway Interchange Between Arnow Pl. in the South and Bartow Ave. in the North, in Bronx Co., NYC",In Development,Summer 2006,Winter 2020/2021,Winter 2020/2021,Winter 2022/2023,29100000,Yes,Yes,No,This project involves the widening of highways.,This project will construct/extend the northbound I-95 fourth travel lane from Exit 8B (to Orchard Beach/City Island) to Exit 9 (to northbound Hutchinson River Parkway) and a northbound Hutchinson River Parkway exit ramp to Co-Op City at Bartow Avenue in ,,,,,,,
X80656,,11 NEW YORK CITY,"REHAB 3 BRIDGES OVER CBE , BRONX CO., NYC","Rehabilitation of E. L. Grant Hwy & Jessup Ave Br & Nelson Avenue Bridge over CBE, to include Deck & Bearings Replacement & Steel Repairs to address Structural Deficiencies and extend service life of structures. BINS:1066220;1066230 &1066240.",In Development,Summer 2009,Spring 2022,Spring 2022,Winter 2024/2025,46900000,Yes,Yes,No,This project involves replacing bridge decks.,"This project will repair the E.L. Grant Highway Bridge structure (over the Cross Bronx Expressway), rehabilate (Deck Replacement) the Nelson Avenue Bridge over Cross Bronx Expressway, and the Jessup Ave Bridge structure (over Cross Bronx Expressway) in Br",,,,,,,
X72707,,11 NEW YORK CITY,"REHAB 6 CBE BRIDGES FROM BOSTON RD TO BRP. BRONX COUNTY, NYC","Rehabilitation of 6 Bridges on Cross Bronx Expwy between Boston Road & Bronx River Parkway in Bronx Co., NYC to address structural deficiencies and extend service life of structures. BINS 1066407,106641A,1066419, 1067089,1075559,1076270",In Development,Fall 2013,Spring 2021,Summer 2021,Fall 2024,363600000,Yes,Yes,Yes,This project involves replacing bridge decks.,"This project will replace the concrete decks, repair concrete substructure and replace bearings and other deteriorated elements for six (6) bridges on the Cross Bronx Expressway to extend their service life: Ramp over West Farms Road, I-95 Ramp over Bronx",,,,,,,
X72713,,11 NEW YORK CITY,"REHAB CBE (I-95) VIADUCT OVER WEBSTER/3RD AVE/MNRR, BRX, NY","Rehabilitate the Cross Bronx Expwy Viaduct between Webster & Third Ave in  Bronx, NYC. Will replace concrete deck, repair substructure & other deteriorated elements to ensure continued safe operations. If feasible, joints will be eliminated. BIN 1066349",In Development,Summer 2016,Fall 2024,Winter 2024/2025,Winter 2027/2028,112000000,Yes,Yes,No,This project involves replacing bridge decks.,"This project will rehabilitate the Cross Bronx Expressway (I-95) viaduct over Webster Avenue, Third Avenue, and the Metro-North Railroad located in Bronx County, NYC. The concrete deck will be replaced and other deteriorated bridge elements will be repair",,,,,,,
X72031,,11 NEW YORK CITY,REHABILITATE 138TH BRIDGE OVER MAJOR DEEGAN EXPWY. BRONX CO,"Rehabilitation of 138th street bridge over Major Deegan Expressway  in Bronx County, NYC  to ensure Structural Integrity / Motorist Safety. BIN:  1066790.",In Development,Spring 1992,Spring 2021,Spring 2021,Summer 2023,15400000,Yes,Yes,No,This project involves general bridge rehabilitation work.,"This project will repair and replace steel and concrete elements on 138th Street bridges over Major Deegan Expressway from the TriBoro Bridge located in Bronx County, New York City.",,,,,,,
X07155,,11 NEW YORK CITY,"REHAB OF 3 BRIDG ON HRD BETWEEN 135TH & 139TH ST, NY CO, NYC","Rehabilitation of three bridges on Harlem River Drive between 135th and 139th Streets to address Structural Deficiency in New York County, NYC (BINs 1077000; 1077010; 107701A)",In Development,Summer 2009,Spring 2023,Summer 2023,Winter 2025/2026,16000000,Yes,Yes,No,This project involves replacing bridge decks.,"Rehabilitation of three bridges on Harlem River Drive between 135th and 139th Streets to address Structural Deficiency in New York County, NYC",,,,,,,
X11019,,11 NEW YORK CITY,"REPLACE 3 DETERIORATED BRIDGES ON BRONX RIVER PKWY. BX, NYC","Replacement of 3 Deteriorated Bridges on Bronx River Pkwy: BIN 1-07672-9 over Amtrak /CSXT Facility, BIN 1-06710-9 over E. Tremont Ave; & 17 Span Viaduct over E. 180th St/ Morris Pk Ave BIN 1067099 in Bronx Cty, NYC to Remove Structural Deficiencies.",In Development,Spring 1996,Spring 2025,Spring 2025,Winter 2028/2029,250800000,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"REPLACE THE DETERIORATED BRIDGES ON THE EXISTING ALIGNMENT OF BRONX RIVER PARKWAY NAMELY, A TWO SPAN BRIDGE OVER AMTRAK/ CSX A SINGLE SPAN BRIDGE OVER EAST TREMONT AVENUE, AND A SEVENTEEN-SPAN VIADUCT OVER E. 180TH ST/ MORRIS PARK AVE. AND NEW YORK CITY T",,,,,,,
X11026,,11 NEW YORK CITY,"REPLACEMENT OF BRONX RIVER PKWY BRIDGE OVER MNRR, BRONX, NYC","Replacement of the severely deteriorated, non-redundant, three-girder Bronx River Parkway Bridge over Metro-North Railroad to improve safety in Bronx, NYC. BIN 1075049",In Development,Spring 2005,Spring 2021,Spring 2021,Spring 2023,50700000,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"To improve safety, this project will remove and install a new Bronx River Parkway Bridge over Metro-North Railroad located in Bronx County, New York City.",,,,,,,
